--- TABLE 1 ---
S.No | Location of Distress | Distress | Length (Rm) / Area (Sqm) / Volume (Cum) | Repair Methodology
 |  | Nos | L (M) | B (M) | H (M) |  | 
FOOTINGS
1 | Spalling observed on footing F2 | 1 | 1 | 1.5 | 0.3 | 0.45 | Micro concrete
2 | Delamination observed on footing A1 | 1 | 1 | 0.8 | - | 0.8 | Polymer modified mortar
3 | Cracks observed on footing A1 | 1 | 5 | - | - | 5 | Epoxy Grouting
COLUMNS
1 | Spalling observed on column D1 in ground floor | 1 | 3 | 1.5 | 0.3 | 1.35 | Polymer modified mortar
2 | Honey combing observed on column A1 in second floor | 1 | 5 | 3 | - | 15 | Replastering
3 | Cracks observed on column A1 | 1 | 10 | - | - | 10 | Cement Grouting
Walls
1 | Cracks observed on walls at 5 locations | 5 | 10 | - | - | 50 | Cement Grouting
Painting
1 | Paint peeling observed | 1 | 10 | 15 | - | 150 | Repainting
Flooring
1 | Tiles broken in production area | 1 | 50 | 30 | - | 1500 | Replacement of tiles
Plumbing
1 | Outlet pipe broken in block b & block c | 5 | 50 | - | - | 250 | Replacement of 2 inch Pipes
2 | Two taps are not working in dining area | 2 | - | - | - | 2 | 
Electrical
1 | Supply not coming to the switch board in kitchen | 1 | - | - | - | 1 | Need to be check
2 | Lights not functioning in reception | 5 | - | - | - | 5 | Replacement of 6 inch ceiling lights
 |  |  |  |  |  |  | 
Quantities in the above table have to sum each repair methodology type
S. No | Description | Quantity | Units
1 | Micro concrete | 0.45 | CUM
2 | Polymer modified mortar | 2.15 | SQM
3 | Epoxy grouting (Multiple the actual quantity with 8) | 40 | KGS
4 | Cement grouting (Multiple the actual quantity with 8) | 60 | KGS
5 | Repainting | 150 | SQM
6 | Replaster | 15 | SQM
7 | Replacement of 2 inch pipes | 250 | RM
8 | Replacement of 6 inch ceiling lights | 5 | NO'S
Note : 1. The distress, L, B, H, Repair methodology entered in the structural rating screen should reflect in this table format.                                                                      2. Need editing option in this table format.                                                                                                                                                                                                                          3. Structural and non-structural distress should reflect in this table separately.

--- TABLE 2 ---
0 DEGREES |  | 90 DEGREES
Rebound No | Strength (N/mm2) |  | Rebound No | Strength (N/mm2)
20 | 10 |  | 20 | 10
21 | 11 |  | 21 | 10
22 | 12 |  | 22 | 10
23 | 13 |  | 23 | 10
24 | 15 |  | 24 | 10
25 | 16 |  | 25 | 10
26 | 17 |  | 26 | 11
27 | 19 |  | 27 | 12
28 | 20 |  | 28 | 13
29 | 22 |  | 29 | 15
30 | 23 |  | 30 | 16
31 | 25 |  | 31 | 18
32 | 27 |  | 32 | 19
33 | 28 |  | 33 | 21
34 | 30 |  | 34 | 23
35 | 32 |  | 35 | 25
36 | 33 |  | 36 | 26
37 | 35 |  | 37 | 28
38 | 37 |  | 38 | 29
39 | 39 |  | 39 | 31
40 | 40 |  | 40 | 33
41 | 42 |  | 41 | 35
42 | 44 |  | 42 | 37
43 | 46 |  | 43 | 39
44 | 48 |  | 44 | 41
45 | 50 |  | 45 | 43
46 | 51 |  | 46 | 45
47 | 53 |  | 47 | 47
48 | 54 |  | 48 | 49
49 | 56 |  | 49 | 51
50 | 58 |  | 50 | 53
51 | 60 |  | 51 | 55
52 | 62 |  | 52 | 57
53 | 64 |  | 53 | 59
54 | 66 |  | 54 | 61
55 | 68 |  | 55 | 63

--- TABLE 3 ---
S.No | Test Location | Actual Thickness | Measured Thickness | Percentage of loss
1 | On chimney shell 15 east face | 10 mm | 8mm | 20 %
2 | On chimney shell 18 North face | 10 mm | 7.5 mm | 25 %
